tchStrt,tchEnd,duration,dist2prev,xMean,yMean,MMean,xMax,yMax,MMax,xMin,yMin,MMin,relocationX,relocationY,distanceX,distanceY,distance,averagespeedx,averagespeedy,averagespeed,averageAccelerationX,averageAccelerationY,averageAcceleration,avrAngVX,avrAngVY,averageAngularAccelerationx,averageAngularAccelerationY,dist2start,wj1,wj2,angleM,STKW,Emotion,Valence,Arousal
27775.1822,27775.26837,0.086174,0,930.625,1693.375,57,1037,1961,57,822,1471,1471,215,490,215,490,535.0934498,2494.952074,5686.169842,6234.834284,649.847982,1160.442825,6234.834284,13026.42531,13040.91914,2854.189349,2842.583767,0,0.333270335,0.337818691,170.8506712,0,2,-0.48658,-0.48658
27775.79625,27775.86974,0.073488,0.52788,1228.714286,1559.714286,55.71428571,1280,1682,60,1205,1494,1494,75,188,75,188,202.4080038,1020.574788,2558.240801,2766.971518,517.0912258,1088.613107,2766.971518,13101.98805,13108.05333,1414.868727,1278.79317,0.614054,-0.010405071,0.012448238,0.182294337,1,2,-0.56102,-0.56102
27776.30979,27776.3709,0.061113,0.440049,303.1666667,1047,59,393,1130,59,244,1003,1003,149,127,149,127,195.7804893,2438.106458,2078.117585,3251.975515,769.0671379,965.424705,3251.975515,13350.21197,13364.66418,1292.187317,1038.759446,1.127591,0.089550033,0.052588734,167.5926414,2,2,-0.67656,-0.67656
27776.74849,27776.84703,0.09854,0.377588,1028.333333,1441.666667,57.66666667,1164,1655,61,947,1331,1331,217,324,217,324,389.9551256,2202.151411,3288.004871,3974.090382,598.7416278,1024.964481,3974.090382,13154.5935,13167.55955,1810.947128,1643.629328,1.566292,0.333077886,0.334626636,0.499060254,3,2,-0.56917,-0.56917
27777.90085,27777.98675,0.085899,1.053824,1067.5,936.125,68.875,1082,1102,70,1054,857,857,28,245,26,245,246.5948094,349.2473719,2852.186871,2894.68248,256.1147394,1012.817379,2894.68248,13419.3471,13420.90345,1414.100251,1425.883031,2.718656,-0.869808784,0.432624877,165.2082623,4,2,-0.50758,-0.50758
27778.5147,27778.61337,0.098665,0.527951,476.6666667,1351.444444,58.66666667,588,1558,61,354,1156,1156,234,402,234,402,465.1451386,2371.661683,4074.393148,4730.143699,587.8477677,871.6363452,4730.143699,13199.89323,13213.55373,2006.290655,2036.697365,3.332506,0.506472274,0.331251768,0.520862671,4,2,-0.55223,-0.55223
27778.79067,27778.90163,0.11096,0.177299,337.4,773.1,77.3,542,1076,84,241,626,626,301,450,301,450,541.3880309,2712.689257,4055.515501,4882.871935,901.2256669,1243.69142,4882.871935,13486.72327,13502.8671,2225.641285,2027.482877,3.60847,0.005481503,0.501172279,175.6197754,4,2,-0.48994,-0.48994
27779.27948,27779.37794,0.098463,0.377853,993.6666667,1057.666667,60.66666667,1051,1329,66,937,914,914,114,415,114,415,430.373094,1157.795314,4214.781187,4473.853958,558.5854585,1320.292902,4473.853958,13354.47009,13360.82503,2111.968643,2107.019185,4.097283,0.336556157,0.399201192,0.275752961,4,2,-0.45875,-0.45875
27780.63189,27780.76845,0.136561,1.25395,418.1666667,948.1666667,59.75,627,1275,63,265,736,736,362,539,362,539,649.2803709,2650.830032,3946.954108,4767.033585,607.7869963,805.5008385,4767.033585,13400.74624,13416.26085,2049.865771,1973.072041,5.449696,0.507302066,0.599094244,173.6334293,4,2,-0.4651,-0.4651
27780.95801,27781.11934,0.161328,0.18956,639.5,1513.214286,39,654,1707,39,589,1435,1435,65,272,-65,272,279.6587206,402.9058812,1686.006149,1743.006884,130.1695924,409.1044332,1743.006884,13136.46603,13133.90626,805.7004364,842.8907722,5.775817,-0.882469862,0.708487951,171.1851608,4,2,-0.41758,-0.41758
27781.65959,27781.77086,0.11127,0.540247,856.5,1694.1,53.3,898,1939,56,795,1563,1563,103,376,-103,376,389.8525362,925.6762829,3379.16779,3518.133772,251.6401546,943.6505797,3518.133772,13049.30783,13043.80163,1657.743965,1689.199739,6.477392,0.446343746,0.546805277,171.3602136,4,2,-0.34014,-0.34014
27782.09872,27782.15965,0.060925,0.327864,1117,1850,65,1117,1850,65,1117,1850,1850,0,0,0,0,0,0,0,0,0,0,0,12966.06472,12966.05861,0.5,0.501592121,6.916526,NaN,NaN,NaN,4,2,-0.39678,-0.39678
27782.6373,27782.72345,0.08615,0.477656,831.625,1489.75,57,854,1618,57,823,1430,1430,31,188,31,188,190.53871,359.8374927,2182.240279,2213.80999,150.8995937,812.5362739,2213.80999,13144.24664,13146.45923,1143.001405,1090.911985,7.455107,-0.903865614,0.345317505,175.1645491,4,2,-0.40683,-0.40683
27782.9757,27783.02432,0.048621,0.252249,1045,1924.6,59,1100,1978,59,997,1839,1839,103,139,103,-139,173.0028901,2118.426194,2858.847,3707.694009,781.555295,1028.36223,3707.694009,12917.00006,12929.19394,1470.799397,1429.92351,7.793506,0.512536814,0.565136442,0.215995046,5,2,-0.42933,-0.42933
27783.69042,27783.77635,0.085926,0.666097,824.5,1636.875,66,835,1641,66,822,1619,1619,13,22,13,-22,25.55386468,151.292973,256.034262,297.5626574,93.10336801,128.017131,297.5626574,13072.42936,13073.42321,134.189349,128.5168633,8.508224,NaN,0.77923612,NaN,5,2,-0.39735,-0.39735
27784.04136,27784.08993,0.048568,0.265012,996.6,1765.4,59,1014,1776,59,986,1749,1749,28,27,28,-27,38.89730068,576.5112831,555.9215944,801.9650512,247.0762642,226.4865755,801.9650512,13006.03289,13009.32678,247.3211991,278.4596854,8.859162,0.333695993,0.205927098,0.059424476,6,2,-0.43715,-0.43715
27784.80607,27784.86666,0.060585,0.716145,684,1683.333333,61,716,1697,61,670,1655,1655,46,42,46,-42,62.28964601,759.2638442,693.2409012,1033.844631,297.1032434,247.5860362,1033.844631,13046.16836,13050.74564,280.8938434,347.1251547,9.623875,NaN,0.640978092,166.4220259,5,2,-0.56974,-0.56974
27785.3196,27785.38066,0.061056,0.452945,881.8333333,1590,62,907,1623,65,857,1557,1557,50,66,48,-57,82.80096618,851.6771488,1228.380503,1510.579271,589.6226415,999.0828092,1510.579271,13093.75842,13097.66894,622.6747248,614.489223,10.137405,0.471483738,-0.798095987,154.5008491,5,2,-0.67816,-0.67816
27785.9708,27786.0447,0.073905,0.59014,747.7142857,1802.714286,65,784,1835,71,729,1744,1744,55,91,55,-91,106.329676,744.1986334,1231.310466,1440.455131,419.4574116,649.4824437,1440.455131,12987.32544,12991.64069,602.4541844,616.1550437,10.788601,0.642901229,0.759536222,0.115850095,4,2,-0.64325,-0.64325
27786.48527,27786.54578,0.060506,0.440571,971,610,90.5,971,610,91,971,610,610,0,0,0,0,0,0,0,0,0,0,0,13588.25786,13588.25178,0.5,0.499917364,11.303077,NaN,NaN,NaN,5,2,-0.63355,-0.63355
