tchStrt;tchEnd;duration;dist2prev;xMean;yMean;MMean;xMax;yMax;MMax;xMin;yMin;MMin;relocationX;relocationY;distanceX;distanceY;distance;averagespeedx;averagespeedy;averagespeed;averageAccelerationX;averageAccelerationY;averageAcceleration;avrAngVX;avrAngVY;averageAngularAccelerationx;averageAngularAccelerationY;dist2start;wj1;wj2;angleM;STKW;Emotion;Valence;Arousal
27775,1822000;27775,2683700;0,0861740;0,0000000;930,6250000;1693,3750000;57,0000000;1037,0000000;1961,0000000;57,0000000;822,0000000;1471,0000000;1471,0000000;215,0000000;490,0000000;215,0000000;490,0000000;535,0934498;2494,9520740;5686,1698420;6234,8342840;649,8479820;1160,4428250;6234,8342840;13026,4253100;13040,9191400;2854,1893490;2842,5837670;0,0000000;0,3332703;0,3378187;170,8506712;0,0000000;2,0000000;-0,4865800;-0,4865800
27775,7962500;27775,8697400;0,0734880;0,5278800;1228,7142860;1559,7142860;55,7142857;1280,0000000;1682,0000000;60,0000000;1205,0000000;1494,0000000;1494,0000000;75,0000000;188,0000000;75,0000000;188,0000000;202,4080038;1020,5747880;2558,2408010;2766,9715180;517,0912258;1088,6131070;2766,9715180;13101,9880500;13108,0533300;1414,8687270;1278,7931700;0,6140540;-0,0104051;0,0124482;0,1822943;1,0000000;2,0000000;-0,5610200;-0,5610200
27776,3097900;27776,3709000;0,0611130;0,4400490;303,1666667;1047,0000000;59,0000000;393,0000000;1130,0000000;59,0000000;244,0000000;1003,0000000;1003,0000000;149,0000000;127,0000000;149,0000000;127,0000000;195,7804893;2438,1064580;2078,1175850;3251,9755150;769,0671379;965,4247050;3251,9755150;13350,2119700;13364,6641800;1292,1873170;1038,7594460;1,1275910;0,0895500;0,0525887;167,5926414;2,0000000;2,0000000;-0,6765600;-0,6765600
27776,7484900;27776,8470300;0,0985400;0,3775880;1028,3333330;1441,6666670;57,6666667;1164,0000000;1655,0000000;61,0000000;947,0000000;1331,0000000;1331,0000000;217,0000000;324,0000000;217,0000000;324,0000000;389,9551256;2202,1514110;3288,0048710;3974,0903820;598,7416278;1024,9644810;3974,0903820;13154,5935000;13167,5595500;1810,9471280;1643,6293280;1,5662920;0,3330779;0,3346266;0,4990603;3,0000000;2,0000000;-0,5691700;-0,5691700
27777,9008500;27777,9867500;0,0858990;1,0538240;1067,5000000;936,1250000;68,8750000;1082,0000000;1102,0000000;70,0000000;1054,0000000;857,0000000;857,0000000;28,0000000;245,0000000;26,0000000;245,0000000;246,5948094;349,2473719;2852,1868710;2894,6824800;256,1147394;1012,8173790;2894,6824800;13419,3471000;13420,9034500;1414,1002510;1425,8830310;2,7186560;-0,8698088;0,4326249;165,2082623;4,0000000;2,0000000;-0,5075800;-0,5075800
27778,5147000;27778,6133700;0,0986650;0,5279510;476,6666667;1351,4444440;58,6666667;588,0000000;1558,0000000;61,0000000;354,0000000;1156,0000000;1156,0000000;234,0000000;402,0000000;234,0000000;402,0000000;465,1451386;2371,6616830;4074,3931480;4730,1436990;587,8477677;871,6363452;4730,1436990;13199,8932300;13213,5537300;2006,2906550;2036,6973650;3,3325060;0,5064723;0,3312518;0,5208627;4,0000000;2,0000000;-0,5522300;-0,5522300
27778,7906700;27778,9016300;0,1109600;0,1772990;337,4000000;773,1000000;77,3000000;542,0000000;1076,0000000;84,0000000;241,0000000;626,0000000;626,0000000;301,0000000;450,0000000;301,0000000;450,0000000;541,3880309;2712,6892570;4055,5155010;4882,8719350;901,2256669;1243,6914200;4882,8719350;13486,7232700;13502,8671000;2225,6412850;2027,4828770;3,6084700;0,0054815;0,5011723;175,6197754;4,0000000;2,0000000;-0,4899400;-0,4899400
27779,2794800;27779,3779400;0,0984630;0,3778530;993,6666667;1057,6666670;60,6666667;1051,0000000;1329,0000000;66,0000000;937,0000000;914,0000000;914,0000000;114,0000000;415,0000000;114,0000000;415,0000000;430,3730940;1157,7953140;4214,7811870;4473,8539580;558,5854585;1320,2929020;4473,8539580;13354,4700900;13360,8250300;2111,9686430;2107,0191850;4,0972830;0,3365562;0,3992012;0,2757530;4,0000000;2,0000000;-0,4587500;-0,4587500
27780,6318900;27780,7684500;0,1365610;1,2539500;418,1666667;948,1666667;59,7500000;627,0000000;1275,0000000;63,0000000;265,0000000;736,0000000;736,0000000;362,0000000;539,0000000;362,0000000;539,0000000;649,2803709;2650,8300320;3946,9541080;4767,0335850;607,7869963;805,5008385;4767,0335850;13400,7462400;13416,2608500;2049,8657710;1973,0720410;5,4496960;0,5073021;0,5990942;173,6334293;4,0000000;2,0000000;-0,4651000;-0,4651000
27780,9580100;27781,1193400;0,1613280;0,1895600;639,5000000;1513,2142860;39,0000000;654,0000000;1707,0000000;39,0000000;589,0000000;1435,0000000;1435,0000000;65,0000000;272,0000000;-65,0000000;272,0000000;279,6587206;402,9058812;1686,0061490;1743,0068840;130,1695924;409,1044332;1743,0068840;13136,4660300;13133,9062600;805,7004364;842,8907722;5,7758170;-0,8824699;0,7084880;171,1851608;4,0000000;2,0000000;-0,4175800;-0,4175800
